Longitude,Latitude,Depth
-66.21051504524436,18.484298095914998,-5.1606855
-66.21042109954361,18.484298095914998,-6.967403
-66.21032715384285,18.484298095914998,-8.54799
-66.2102332081421,18.484298095914998,-9.591622
-66.21013926244136,18.484298095914998,-10.33201
-66.2100453167406,18.484298095914998,-9.7898445
-66.20995137103985,18.484298095914998,-8.505307
-66.2098574253391,18.484298095914998,-8.952618
-66.20976347963834,18.484298095914998,-9.030094
-66.20966953393759,18.484298095914998,-8.300157
-66.20957558823683,18.484298095914998,-8.026613
-66.20948164253609,18.484298095914998,-8.918098
-66.20938769683534,18.484298095914998,-9.209429
-66.20929375113458,18.484298095914998,-9.024383
-66.20919980543383,18.484298095914998,-8.862975
-66.20910585973307,18.484298095914998,-9.976271
-66.20901191403232,18.484298095914998,-10.549713
-66.20882402263082,18.484298095914998,-10.973978
-66.20581776020673,18.484298095914998,-7.634254
-66.20572381450597,18.484298095914998,-7.9550805
-66.20562986880522,18.484298095914998,-8.326492
-66.20553592310448,18.484298095914998,-8.495639
-66.20544197740372,18.484298095914998,-8.662675
-66.20534803170297,18.484298095914998,-8.708544
-66.20525408600221,18.484298095914998,-8.964302
-66.21107871944888,18.484204150214246,-5.8804893
-66.21098477374812,18.484204150214246,-5.973582
-66.21089082804737,18.484204150214246,-5.919326
-66.21079688234663,18.484204150214246,-7.059492
-66.21070293664587,18.484204150214246,-5.4910617
-66.21060899094512,18.484204150214246,-3.220013
-66.21051504524436,18.484204150214246,-5.08517
-66.21042109954361,18.484204150214246,-6.494085
-66.21032715384285,18.484204150214246,-7.432599
-66.2102332081421,18.484204150214246,-9.033066
-66.21013926244136,18.484204150214246,-9.400061
-66.2100453167406,18.484204150214246,-9.515453
-66.20995137103985,18.484204150214246,-9.213988
-66.2098574253391,18.484204150214246,-8.896084
-66.20976347963834,18.484204150214246,-8.556449
-66.20966953393759,18.484204150214246,-8.939708
-66.20957558823683,18.484204150214246,-9.159924
-66.20948164253609,18.484204150214246,-9.08561
-66.20938769683534,18.484204150214246,-8.984168
-66.20929375113458,18.484204150214246,-8.997665
-66.20919980543383,18.484204150214246,-8.82196
-66.20910585973307,18.484204150214246,-8.791553
-66.20901191403232,18.484204150214246,-10.032473
-66.20891796833156,18.484204150214246,-10.739493
-66.20882402263082,18.484204150214246,-10.853815
-66.20873007693007,18.484204150214246,-10.946437
-66.20854218552856,18.484204150214246,-11.135803
-66.2084482398278,18.484204150214246,-11.201243
-66.20619354300975,18.484204150214246,-8.597338
-66.20609959730899,18.484204150214246,-8.597338
-66.20600565160824,18.484204150214246,-8.168111
-66.20591170590748,18.484204150214246,-7.240554
-66.20581776020673,18.484204150214246,-6.401577
-66.20572381450597,18.484204150214246,-6.5423646
-66.20562986880522,18.484204150214246,-7.431293
-66.20553592310448,18.484204150214246,-7.874914
-66.20544197740372,18.484204150214246,-7.694997
-66.20534803170297,18.484204150214246,-7.8095994
-66.20337517198716,18.484204150214246,-9.027901
-66.21107871944888,18.484110204513495,-6.186432
-66.21098477374812,18.484110204513495,-6.046506
-66.21089082804737,18.484110204513495,-5.662046
-66.21079688234663,18.484110204513495,-5.544111
-66.21070293664587,18.484110204513495,-6.063622
-66.21060899094512,18.484110204513495,-6.6793237
-66.21051504524436,18.484110204513495,-4.791394
-66.21042109954361,18.484110204513495,-5.002685
-66.21032715384285,18.484110204513495,-7.019463
-66.2102332081421,18.484110204513495,-8.1882925
-66.21013926244136,18.484110204513495,-8.091677
-66.2100453167406,18.484110204513495,-8.440222
